型号,机号,传动方式,主轴转速,流量,全压,电机型号,功率
Y4-73,18,D,960,121830,2908,Y355-6,200
Y4-73,18,D,960,137580,2895,Y355-6,200
Y4-73,18,D,960,154160,2864,Y355-6,200
Y4-73,18,D,960,169910,2790,Y355-6,200
Y4-73,18,D,960,185650,2659,Y355-6,220
Y4-73 Y4-73,18,D,960,201400,2479,Y355-6,220
Y4-73,18,D,960,217980,2225,Y355-6,220
Y4-73,18,D,960,233730,1934,Y355-6,220
Y4-73,18,D,730,92648,1674,Y315L1-8,90
Y4-73,18,D,730,104620,1667,Y315L1-8,90
Y4-73,18,D,730,117220,1649,Y315L1-8,90
Y4-73,18,D,730,129200,1606,Y315L1-8,90
Y4-73,18,D,730,141170,1532,Y315L2-8,110
Y4-73,18,D,730,153150,1428,Y315L2-8,110
Y4-73,18,D,730,165750,1282,Y315L2-8,110
Y4-73,18,D,730,177730,1115,Y315L2-8,110
Y4-73,18,D,580,73910,1055,Y315S-10,45
Y4-73,18,D,580,83125,1050,Y315S-10,45
Y4-73,18,D,580,93140,1039,Y315S-10,45
Y4-73,18,D,580,102650,1012,Y315S-10,45
Y4-73,18,D,580,112160,965,Y315M-10,55
Y4-73,18,D,580,121680,900,Y315M-10,55
Y4-73,18,D,580,131690,808,Y315M-10,55
Y4-73 Y4-73,18,D,580,141210,703,Y315M-10,55
Y4-73,20,D,960,167230,3598,JSQ1410-6,380
Y4-73,20,D,960,188730,3583,JSQ1410-6,380
Y4-73,20,D,960,211470,3545,JSQ1410-6,380
Y4-73,20,D,960,233070,3452,JSQ1410-6,380
Y4-73,20,D,960,254670,3290,JSQ1410-6,380
Y4-73,20,D,960,276270,3067,JSQ1410-6,380
Y4-73,20,D,960,299010,2752,JSQ1410-6,380
Y4-73,20,D,960,320610,2392,JSQ1410-6,380
Y4-73,20,D,730,127090,2070,Y355M2-8,132
Y4-73,20,D,730,143510,2061,Y355M2-8,132
Y4-73,20,D,730,160800,2039,Y355M2-8,160
Y4-73,20,D,730,177230,1986,Y355M2-8,160
Y4-73,20,D,730,193660,1893,Y355M2-8,160
Y4-73,20,D,730,210080,1765,Y355M2-8,160
Y4-73 Y4-73,20,D,730,227370,1585,Y355M2-8,160
Y4-73,20,D,730,243800,1378,Y355M2-8,160
Y4-73,20,D,580,100970,1303,Y315M2-10,75
Y4-73,20,D,580,114020,1298,Y315M2-10,75
Y4-73,20,D,580,127760,1284,Y315M2-10,75
Y4-73,20,D,580,140810,1250,Y315M2-10,75
Y4-73,20,D,580,153860,1192,Y315M1-10,90
Y4-73,20,D,580,166910,1112,Y315M1-10,90
Y4-73,20,D,580,180650,998,Y315M1-10,90
Y4-73,20,D,580,193700,868,Y315M1-10,90
Y5-47,4,C,2900,2750,1451,Y100L-2,3
Y5-47,4,C,2900,3080,1451,Y100L-2,3
Y5-47,4,C,2900,3410,1432,Y100L-2,3
Y5-47,4,C,2900,3740,1383,Y100L-2,3
Y5-47,4,C,2900,4070,1314,Y100L-2,3
Y5-47,4,C,2900,4400,1236,Y100L-2,3
Y5-47,4,C,2900,4730,1147,Y100L-2,3
Y5-47,4,C,2900,5060,990,Y100L-2,3
Y5-47,4,C,3300,3130,1873,Y112M-2,4
Y5-47,4,C,3300,3500,1873,Y112M-2,4
Y5-47,4,C,3300,3880,1863,Y112M-2,4
Y5-47,4,C,3300,4250,1795,Y112M-2,4
Y5-47,4,C,3300,4630,1697,Y112M-2,4
Y5-47,4,C,3300,5000,1608,Y112M-2,4
Y5-47,4,C,3300,5380,1491,Y112M-2,4
Y5-47,4,C,3300,5750,1285,Y112M-2,4
Y5-47,5,C,2620,4840,1844,Y132S1-2,5.5
Y5-47,5,C,2620,5420,1844,Y132S1-2,5.5
Y5-47,5,C,2620,6000,1824,Y132S1-2,5.5
Y5-47,5,C,2620,6580,1765,Y132S1-2,5.5
Y5-47,5,C,2620,7160,1667,Y132S1-2,5.5
Y5-47,5,C,2620,7740,1579,Y132S1-2,5.5
Y5-47,5,C,2620,8320,1461,Y132S1-2,5.5
Y5-47,5,C,2620,8900,1265,Y132S1-2,5.5
Y5-47,5,C,2900,5360,2265,Y132S2-2,7.5
Y5-47,5,C,2900,6010,2265,Y132S2-2,7.5
Y5-47,5,C,2900,6650,2246,Y132S2-2,7.5
Y5-47,5,C,2900,7300,2167,Y132S2-2,7.5
Y5-47,5,C,2900,7940,2050,Y132S2-2,7.5
Y5-47,5,C,2900,8580,1932,Y132S2-2,7.5
Y5-47,5,C,2900,9230,1795,Y132S2-2,7.5
Y5-47,5,C,2900,9870,1549,Y132S2-2,7.5
Y5-47,6,C,2620,8370,2658,Y160M2-2,15
Y5-47,6,C,2620,9380,2658,Y160M2-2,15
Y5-47,6,C,2620,10380,2638,Y160M2-2,15
Y5-47,6,C,2620,11390,2550,Y160M2-2,15
Y5-47,6,C,2620,12390,2412,Y160M2-2,15
Y5-47,6,C,2620,13400,2275,Y160M2-2,15
Y5-47,6,C,2620,14400,2118,Y160M2-2,15
Y5-47,6,C,2620,15410,1824,Y160M2-2,15
Y5-47,6,C,2850,9110,3148,Y160M2-2,15
Y5-47,6,C,2850,10200,3148,Y160M2-2,15
Y5-47,6,C,2850,11300,3119,Y160L-2,18.5
Y5-47,6,C,2850,12390,3011,Y160L-2,18.5
Y5-47,6,C,2850,13480,2854,Y160L-2,18.5
Y5-47,6,C,2850,14570,2687,Y160L-2,18.5
Y5-47,6,C,2850,15670,2501,Y160L-2,18.5
Y5-47,6,C,2850,16760,2148,Y160L-2,18.5
Y5-47,8,C,1820,13780,2530,Y180M-4,18.5
Y5-47,8,C,1820,15430,2530,Y180M-4,18.5
Y5-47,8,C,1820,17080,2501,Y180L-4,22
Y5-47,8,C,1820,18740,2412,Y180L-4,22
Y5-47,8,C,1820,20400,2285,Y180L-4,22
Y5-47,8,C,1820,22050,2157,Y180L-4,22
Y5-47,8,C,1820,23700,2010,Y180L-4,22
Y5-47,8,C,1820,25360,1726,Y180L-4,22
Y5-47,8,C,1980,15000,2991,Y200L-4,30
Y5-47,8,C,1980,16800,2991,Y200L-4,30
Y5-47,8,C,1980,18600,2971,Y200L-4,30
Y5-47,8,C,1980,20400,2864,Y200L-4,30
Y5-47,8,C,1980,22200,2716,Y200L-4,30
Y5-47,8,C,1980,24000,2560,Y200L-4,30
Y5-47,8,C,1980,25800,2383,Y200L-4,30
Y5-47,8,C,1980,27600,2050,Y200L-4,30
Y5-47,9,C,1740,18780,2922,Y225S-4,37
Y5-47,9,C,1740,21030,2922,Y225S-4,37
Y5-47,9,C,1740,23280,2893,Y225S-4,37
Y5-47,9,C,1740,25540,2795,Y225S-4,37
Y5-47,9,C,1740,27790,2648,Y225S-4,37
Y5-47,9,C,1740,30040,2501,Y225S-4,37
Y5-47,9,C,1740,32300,2324,Y225S-4,37
Y5-47,9,C,1740,34550,2001,Y225S-4,37
Y5-47,9,C,1820,19640,3197,Y225S-4,37
Y5-47,9,C,1820,22000,3197,Y225S-4,37
Y5-47,9,C,1820,24350,3168,Y225S-4,37
Y5-47,9,C,1820,26710,3060,Y225S-4,37
Y5-47,9,C,1820,29070,2903,Y225S-4,37
Y5-47,9,C,1820,31420,2736,Y225M-4,45
Y5-47,9,C,1820,33780,2540,Y225M-4,45
Y5-47,9,C,1820,36140,2187,Y225M-4,45
Y5-47,12,D,1450,37100,3609,Y280S-4,75
Y5-47,12,D,1450,41540,3609,Y280S-4,75
Y5-47,12,D,1450,46000,3579,Y280S-4,75
Y5-47,12,D,1450,50450,3460,Y280S-4,75
Y5-47,12,D,1450,54900,3275,Y280S-4,75
Y5-47,12,D,1450,59350,3089,Y280S-4,75
Y5-47,12,D,1450,63800,2873,Y280S-4,75
Y5-47,12,D,1450,68250,2471,Y280S-4,75
Y5-47,12.4,D,1450,40940,3854,Y315S-4,110
Y5-47,12.4,D,1450,45850,3854,Y315S-4,110
Y5-47,12.4,D,1450,50760,3825,Y315S-4,110
Y5-47,12.4,D,1450,55680,3687,Y315S-4,110
Y5-47,12.4,D,1450,60590,3491,Y315S-4,110
Y5-47,12.4,D,1450,65500,3295,Y315S-4,110
Y5-47,12.4,D,1450,70410,3060,Y315S-4,110
Y5-47,12.4,D,1450,75330,2638,Y315S-4,110
Y10-24,5,C,2000,1936,1412,Y112M-4,4
Y10-24,5,C,2000,2406,1482,Y112M-4,4
Y10-24,5,C,2000,2879,1553,Y112M-4,4
Y10-24,5,C,2000,3349,1592,Y112M-4,4
Y10-24,5,C,2000,3823,1586,Y112M-4,4
Y10-24,5,C,2000,4239,1592,Y112M-4,4
Y10-24,5,C,2240,2168,1581,Y132S-4,5.5
Y10-24,5,C,2240,2694,1659,Y132S-4,5.5
Y10-24,5,C,2240,3225,1739,Y132S-4,5.5
Y10-24,5,C,2240,3751,1783,Y132S-4,5.5
Y10-24,5,C,2240,4282,1775,Y132S-4,5.5
Y10-24,5,C,2240,4808,1783,Y132S-4,5.5
Y10-24,5,C,2500,2419,1765,Y312S-4,5.5
Y10-24,5,C,2500,3007,1852,Y312S-4,5.5
Y10-24,5,C,2500,3599,1941,Y312S-4,5.5
Y10-24,5,C,2500,4187,1990,Y132M-4,7.5
Y10-24,5,C,2500,4779,1981,Y132M-4,7.5
Y10-24,5,C,2500,5367,1990,Y132M-4,7.5
Y10-24,6.3,C,1600,3097,1774,Y132S-4,5.5
Y10-24,6.3,C,1600,3850,1852,Y132S-4,5.5
Y10-24,6.3,C,1600,4608,1930,Y132S-4,5.5
Y10-24,6.3,C,1600,5360,1980,Y132S-4,5.5
Y10-24,6.3,C,1600,6118,1970,Y132S-4,5.5
Y10-24,6.3,C,1600,6870,1921,Y132S-4,5.5
Y10-24,6.3,C,1800,34485,2244,Y132M-4,7.5
Y10-24,6.3,C,1800,4331,2342,Y132M-4,7.5
Y10-24,6.3,C,1800,5183,2440,Y132M-4,7.5
Y10-24,6.3,C,1800,6030,2499,Y132M-4,7.5
Y10-24,6.3,C,1800,6883,2489,Y132M-4,7.5
Y10-24,6.3,C,1800,7729,2430,Y132M-4,7.5
Y10-24,6.3,C,2000,3872,2773,Y160M-4,11
Y10-24,6.3,C,2000,4812,2907,Y160M-4,11
Y10-24,6.3,C,2000,5760,3018,Y160M-4,11
Y10-24,6.3,C,2000,6700,3087,Y160M-4,11
Y10-24,6.3,C,2000,7648,3067,Y160M-4,11
Y10-24,6.3,C,2000,8588,2999,Y160M-4,11
Y6-30,3.5,C,2350,655,853,Y801-2B3,0.75
Y6-30,3.5,C,2350,745,843,Y801-2B3,0.75
Y6-30,3.5,C,2350,834,834,Y801-2B3,0.75
Y6-30,3.5,C,2350,923,824,Y801-2B3,0.75
Y6-30,3.5,C,2350,1000,800,Y801-2B3,0.75
Y6-30,3.5,C,2350,1103,765,Y801-2B3,0.75
Y6-30,3.5,C,2350,1192,727,Y801-2B3,0.75
Y6-30,4.3,C,2260,1169,1206,Y90S-2B3,1.5
Y6-30,4.3,C,2260,1328,1187,Y90S-2B3,1.5
Y6-30,4.3,C,2260,1487,1176,Y90S-2B3,1.5
Y6-30,4.3,C,2260,1700,1170,Y90S-2B3,1.5
Y6-30,4.3,C,2260,1806,1108,Y90S-2B3,1.5
Y6-30,4.3,C,2260,1966,1078,Y90S-2B3,1.5
Y6-30,4.3,C,2260,2125,1020,Y90S-2B3,1.5
Y6-30,4.8,C,2250,1619,1490,Y90L-2B3,2.2
Y6-30,4.8,C,2250,1840,1470,Y90L-2B3,2.2
Y6-30,4.8,C,2250,2060,1450,Y90L-2B3,2.2
Y6-30,4.8,C,2250,2300,1420,Y90L-2B3,2.2
Y6-30,4.8,C,2250,2502,1392,Y90L-2B3,2.2
Y6-30,4.8,C,2250,2723,1333,Y90L-2B3,2.2
Y6-30,4.8,C,2250,2944,1265,Y90L-2B3,2.2
Y6-30,5.4,C,2300,2202,2157,Y100L-2B3,3
Y6-30,5.4,C,2300,2503,2128,Y100L-2B3,3
Y6-30,5.4,C,2300,2804,2098,Y100L-2B3,3
Y6-30,5.4,C,2300,3100,2060,Y100L-2B3,3
Y6-30,5.4,C,2300,3405,1981,Y100L-2B3,3
Y6-30,5.4,C,2300,3705,1922,Y100L-2B3,3
Y6-30,5.4,C,2300,3963,1833,Y100L-2B3,3
Y6-30,6.5,C,2150,2926,2383,Y112M-2B3,4
Y6-30,6.5,C,2150,3325,2433,Y112M-2B3,4
Y6-30,6.5,C,2150,3725,2328,Y112M-2B3,4
Y6-30,6.5,C,2150,4000,2288,Y112M-2B3,4
Y6-30,6.5,C,2150,4263,2206,Y132S1-2B3,5.5
Y6-30,6.5,C,2150,4604,2137,Y132S1-2B3,5.5
Y6-30,6.5,C,2150,4945,2020,Y132S1-2B3,5.5
Y6-30,7.5,C,1900,5216,2598,Y132M-4B3,7.5
Y6-30,7.5,C,1900,5926,2559,Y132M-4B3,7.5
Y6-30,7.5,C,1900,6622,2530,Y132M-4B3,7.5
Y6-30,7.5,C,1900,6600,2500,Y132M-4B3,7.5
Y6-30,7.5,C,1900,7349,2392,Y160M-4B3,11
Y6-30,7.5,C,1900,8060,2324,Y160M-4B3,11
Y6-30,7.5,C,1900,8771,2196,Y160M-4B3,11
Y6-30,7.5,C,1800,5000,2736,Y132M-4B3,7.5
Y6-30,7.5,C,1800,5500,2726,Y132M-4B3,7.5
Y6-30,7.5,C,1800,5900,2716,Y132M-4B3,7.5
Y6-30,7.5,C,1800,6200,2598,Y132M-4B3,7.5
Y6-30,7.5,C,1800,6500,2560,Y132M-4B3,7.5
Y6-30,7.5,C,1800,7000,2500,Y160M-4B3,11
Y6-30,7.5,C,1800,7800,2432,Y160M-4B3,11
Y6-30,8.6,C,1850,9494,3226,Y180M-4B3,18.5
Y6-30,8.6,C,1850,10789,3187,Y180M-4B3,18.5
Y6-30,8.6,C,1850,12083,3138,Y180M-4B3,18.5
Y6-30,8.6,C,1850,13778,3098,Y180M-4B3,18.5
Y6-30,8.6,C,1850,14000,3040,Y180M-4B3,18.5
Y6-30,8.6,C,1850,15967,2883,Y180L-4B3,22
Y6-30,8.6,C,1850,17262,2736,Y180L-4B3,22
Y9-27,5,C,2030,3005,1854,Y112M-4,4
Y9-27,5,C,2030,3381,1824,Y112M-4,4
Y9-27,5,C,2030,3757,1775,Y112M-4,4
Y9-27,5,C,2030,4132,1706,Y112M-4,4
Y9-27,5,C,2030,1508,1638,Y112M-4,4
Y9-27,5,C,2030,4884,1550,Y132S-4,5.5
Y9-27,5,C,2030,5259,1461,Y132S-4,5.5
Y9-27,5,C,2180,3227,2138,Y112M-4,4
Y9-27,5,C,2180,3630,2099,Y112M-4,4
Y9-27,5,C,2180,4034,2040,Y112M-4,4
Y9-27,5,C,2180,4437,1971,Y132S-4,5.5
Y9-27,5,C,2180,4841,1893,Y132S-4,5.5
Y9-27,5,C,2180,5244,1785,Y132S-4,5.5
Y9-27,5,C,2180,5647,1687,Y132S-4,5.5
Y9-27,5,C,2240,3315,2256,Y112M-4,4
Y9-27,5,C,2240,3730,2216,Y112M-4,4
Y9-27,5,C,2240,4145,2158,Y132S-4,5.5
Y9-27,5,C,2240,4559,2079,Y132S-4,5.5
Y9-27,5,C,2240,4974,1991,Y132S-4,5.5
Y9-27,5,C,2240,5389,1883,Y123M-4,7.5
Y9-27,5,C,2240,5803,1785,Y123M-4,7.5
Y9-27,6.3,C,1820,5389,2393,Y132M-4,7.5
Y9-27,6.3,C,1820,6063,2363,Y132M-4,7.5
Y9-27,6.3,C,1820,6737,2305,Y132M-4,7.5
Y9-27,6.3,C,1820,7411,2226,Y160M-4,11
Y9-27,6.3,C,1820,8084,2148,Y160M-4,11
Y9-27,6.3,C,1820,8758,2050,Y160M-4,11
Y9-27,6.3,C,1820,9432,1942,Y160M-4,11
Y9-27,6.3,C,1950,5774,2746,Y160M-4,11
Y9-27,6.3,C,1950,6496,2707,Y160M-4,11
Y9-27,6.3,C,1950,7218,2648,Y160M-4,11
Y9-27,6.3,C,1950,7940,25560,Y160M-4,11
Y9-27,6.3,C,1950,8661,2452,Y160M-4,11
Y9-27,6.3,C,1950,9383,2344,Y160L-4,15
Y9-27,6.3,C,1950,10105,2226,Y160L-4,15
Y9-27,6.3,C,2030,6010,2972,Y160M-4,11
Y9-27,6.3,C,2030,6762,2932,Y160M-4,11
Y9-27,6.3,C,2030,7514,2569,Y160M-4,11
Y9-27,6.3,C,2030,8266,2766,Y160L-4,15
Y9-27,6.3,C,2030,9016,2668,Y160L-4,15
Y9-27,6.3,C,2030,9768,2550,Y160L-4,15
Y9-27,6.3,C,2030,12520,2413,Y160L-4,15
Y9-27,8,C,1620,9823,3403,Y180L-4,22
Y9-27,8,C,1620,11051,3344,Y180L-4,22
Y9-27,8,C,1620,12279,3256,Y180L-4,22
Y9-27,8,C,1620,13507,3158,Y200L-4,30
Y9-27,8,C,1620,14735,3030,Y200L-4,30
Y9-27,8,C,1620,15963,2883,Y200L-4,30
Y9-27,8,C,1620,17190,2726,Y180L-4,22
Y9-27,8,C,1740,10551,3923,Y180L-4,32
Y9-27,8,C,1740,11870,3854,Y180L-4,32
Y9-27,8,C,1740,13180,3756,Y200L-4,30
Y9-27,8,C,1740,14508,3639,Y200L-4,30
Y9-27,8,C,1740,15826,3491,Y200L-4,30
Y9-27,8,C,1740,17145,3324,Y225S-4,37
Y9-27,8,C,1740,18464,3138,Y225S-4,37
Y9-27,8,D,1450,8793,2726,Y160L-4,15
Y9-27,8,D,1450,9892,2677,Y160L-4,15
Y9-27,8,D,1450,10991,2609,Y160L-4,15
Y9-27,8,D,1450,12090,2530,Y160L-4,15
Y9-27,8,D,1450,13189,2422,Y180M-4,18.5
Y9-27,8,D,1450,14288,2305,Y180M-4,18.5
Y9-27,8,D,1450,15387,2177,Y180M-4,18.5
Y9-27,9,D,1450,12519,3462,Y200L-4,30
Y9-27,9,D,1450,14084,3423,Y200L-4,30
Y9-27,9,D,1450,15649,3334,Y200L-4,30
Y9-27,9,D,1450,17214,3236,Y200L-4,30
Y9-27,9,D,1450,18779,3119,Y225S-4,37
Y9-27,9,D,1450,20344,2972,Y225S-4,37
Y9-27,9,D,1450,21909,2824,Y225S-4,37
GG2-1,,D,2900,2200,2303,Y100L-2,2
GG2-1,,D,2900,2500,2303,Y100L-2,2
GG2-1,,D,2900,2750,2234,Y100L-2,2
GG2-1,,D,2900,3000,2136,Y100L-2,2
GG2-1,,D,2900,3250,2038,Y100L-2,2
GG2-1,,D,2900,3370,1960,Y100L-2,2
GG2-1,,D,2900,3500,1852,Y100L-2,2
GG2-1,,D,2900,3750,1695,Y100L-2,2
GG4-1,,D,2900,5000,2990,Y132S2-2,7.5
GG4-1,,D,2900,6000,2740,Y132S2-2,7.5
GG4-1,,D,2900,7000,2450,Y132S2-2,7.5
GG4-1,,D,2900,8000,2255,Y132S2-2,7.5
GG4-1,,D,2900,9000,1960,Y132S2-2,7.5
GG4-1,,D,2900,10000,1490,Y132S2-2,7.5
GG6-1,,D,1450,7000,2109,Y132M-4,7.5
GG6-1,,D,1450,8000,2040,Y132M-4,7.5
GG6-1,,D,1450,8750,1961,Y132M-4,7.5
GG6-1,,D,1450,9000,1030,Y132M-4,7.5
GG6-1,,D,1450,10000,1844,Y132M-4,7.5
GG6-1,,D,1450,11000,1648,Y132M-4,7.5
GG6-1,,D,1450,12000,1442,Y132M-4,7.5
GG8-1,,D,1450,8000,2305,Y160M-4,11
GG8-1,,D,1450,10000,2205,Y160M-4,11
GG8-1,,D,1450,12000,2020,Y160M-4,11
GG8-1,,D,1450,14000,1715,Y160M-4,11
GG8-1,,D,1450,15000,1520,Y160M-4,11
GG8-1,,D,1450,16000,1325,Y160M-4,11
GG10-1,,D,1450,10000,2695,Y160L-4,15
GG10-1,,D,1450,12500,2646,Y160L-4,15
GG10-1,,D,1450,15000,2470,Y160L-4,15
GG10-1,,D,1450,17500,2303,Y180M-4,18.5
GG10-1,,D,1450,20000,1989,Y180M-4,18.5
GG10-1,,D,1450,22500,1617,Y180M-4,18.5
GY2-1,,D,1450,3000,2510,Y132M-4,7.5
GY2-1,,D,1450,4000,259,Y132M-4,7.5
GY2-1,,D,1450,5000,2648,Y132M-4,7.5
GY2-1,,D,1450,6000,2599,Y132M-4,7.5
GY2-1,,D,1450,6600,2550,Y132M-4,7.5
GY2-1,,D,1450,7000,2500,Y132M-4,7.5
GY2-1,,D,1450,7500,2432,Y132M-4,7.5
GY2-1,,D,1450,8000,2305,Y132M-4,7.5
GY4-1,,D,1450,9500,3267,Y180M-4,18.5
GY4-1,,D,1450,10800,3346,Y180M-4,18.5
GY4-1,,D,1450,11800,3325,Y180M-4,18.5
GY4-1,,D,1450,12800,3315,Y180M-4,18.5
GY4-1,,D,1450,13800,3305,Y180L-4,22
GY4-1,,D,1450,14400,3285,Y180L-4,22
GY4-1,,D,1450,15900,3236,Y180L-4,22
GY6-1,,D,1450,14000,3214,Y200L-4,30
GY6-1,,D,1450,16000,3256,Y200L-4,30
GY6-1,,D,1450,18000,3187,Y200L-4,30
GY6-1,,D,1450,20000,3070,Y200L-4,30
GY6-1,,D,1450,22000,2922,Y200L-4,30
GY6-1,,D,1450,23000,2824,Y200L-4,30
GY8-1,,D,1450,20000,3165,Y225S-4,37
GY8-1,,D,1450,22000,3200,Y225S-4,37
GY8-1,,D,1450,24000,3235,Y225S-4,37
GY8-1,,D,1450,26000,2350,Y225S-4,37
GY8-1,,D,1450,28000,3255,Y225S-4,37
GY8-1,,D,1450,30000,3235,Y225S-4,37
GY8-1,,D,1450,32000,3195,Y225S-4,37
GY10-1,,D,1450,25000,3253,Y225M-4,45
GY10-1,,D,1450,30000,3185,Y225M-4,45
GY10-1,,D,1450,35000,3087,Y225M-4,45
GY10-1,,D,1450,43330,2704,Y250M-4,55
GY10-1,,D,1450,50000,2440,Y250M-4,55
GY10-1,,D,1450,58330,1940,Y250M-4,55
T30,3,,2850,1370,102,IAO5612,0.12
T30,3,,2850,1830,121.6,IAO5612,0.12
T30,3,,2850,2400,132.4,IAO5622,0.18
T30,3,,2850,2630,137.3,IAO5632,0.25
T30,3,,2850,3200,147.2,IAO5632,0.25
T30,3,,2850,675,24.5,IAO5614,0.09
T30,3,,2850,900,29.4,IAO5614,0.09
T30,3,,2850,1180,33.4,IAO5614,0.09
T30,3,,2850,1300,34.3,IAO5614,0.09
T30,3,,2850,1580,36.3,IAO5614,0.09
T30,3.5,,2850,2170,140.3,IAO5622,0.18
T30,3.5,,2850,2650,166.8,IAO5632,1.25
T30,3.5,,2850,3800,182.5,IAO7112,1.37
T30,3.5,,2850,4150,189.3,IAO7122,0.55
T30,3.5,,2850,5060,201.1,IAO7122,0.55
T30,3.5,,1410,1080,34.3,IAO5614,0.09
T30,3.5,,1410,1435,41.2,IAO5614,0.09
T30,3.5,,1410,1800,45.1,IAO5614,0.09
T30,3.5,,1410,2060,47.1,IAO5614,0.09
T30,3.5,,1410,2510,49.1,IAO5614,0.09
T30,4,,2900,3300,191.3,IAO7112,0.37
T30,4,,2900,4410,225.6,IAO712,0.55
T30,4,,2900,5780,250.2,IAO7132,0.75
T30,4,,2900,6320,264.9,Y802-2,1.1
T30,4,,2900,7700,284.5,Y802-2,1.1
T30,4,,1450,1650,44.2,IAO56144,0.09
T30,4,,1450,2200,51.9,IAO5614,0.09
T30,4,,1450,2890,56.8,IAO5614,0.09
T30,4,,1450,3160,61.8,IAO5634,0.18
T30,4,,1450,3850,65.7,IAO5634,0.18
T30,5,,1450,3220,68.7,Y801-4,0.55
T30,5,,1450,4300,81.4,Y801-4,0.55
T30,5,,1450,5640,89.3,Y801-4,0.55
T30,5,,1450,6170,96.1,Y801-4,0.55
T30,5,,1450,7500,103,Y801-4,0.55
T30,5,,960,2140,33.4,Y90S-6,0.75
T30,5,,960,2850,39.2,Y90S-6,0.75
T30,5,,960,3740,43.2,Y90S-6,0.75
T30,5,,960,4100,46.1,Y90S-6,0.75
T30,5,,960,5000,49.1,Y90S-6,0.75
T30,6,,1450,7420,116.7,Y802-4,0.75
T30,6,,1450,9720,128.5,Y802-4,0.75
T30,6,,1450,10700,137.3,Y802-4,0.75
T30,6,,1450,13000,147.2,Y90S-4,1.1
T30,6,,1450,3700,43.2,Y90S-6,0.75
T30,6,,1450,4920,51,Y90S-6,0.75
T30,6,,1450,6400,56.8,Y90S-6,0.75
T30,6,,1450,7100,60.8,Y90S-6,0.75
T30,6,,1450,8600,64.7,Y90S-6,0.75
T30,7,,1450,8825,146.1,Y90S-4,1.1
T30,7,,1450,11750,172.7,Y90S-4,1.1
T30,7,,1450,15400,192.3,Y90L-4,1.5
T30,7,,1450,16900,202.1,Y100L1-4,2.2
T30,7,,1450,20600,216.8,Y100L1-4,2.2
T30,7,,960,5860,58.9,Y90S-6,0.75
T30,7,,960,7810,69.7,Y90S-6,0.75
T30,7,,960,10250,76.5,Y90S-6,0.75
T30,7,,960,11240,82.4,Y90S-6,0.75
T30,7,,960,13700,87.3,Y90S-6,0.75
T30,8,,1450,13200,86.3,Y100L1-4,2.2
T30,8,,1450,17600,102,Y100L1-4,2.2
T30,8,,1450,23000,111.8,Y100L2-6,3
T30,8,,1450,25150,120.7,Y112M-4,4
T30,8,,1450,30800,128.5,Y132S-4,5.5
T30,8,,960,12450,130.5,Y90S-6,0.75
T30,8,,960,16600,154.9,Y90S-6,0.75
T30,8,,960,21800,169.7,Y90L-6,1.1
T30,8,,960,24000,181.5,Y90L-6,1.1
T30,8,,960,29000,194.2,Y100L-6,1.5
T30,9,,960,12450,86.3,Y90S-6,0.75
T30,9,,960,16600,102,Y90S-6,0.75
T30,9,,960,21800,111.8,Y90L-6,1.1
T30,9,,960,24000,120.7,Y100L-6,1.5
T30,9,,960,29000,128.5,Y112M-6,2.2
T30,10,,960,17100,130.5,Y100L-6,1.5
T30,10,,960,22700,154.9,Y112M-6,2.2
T30,10,,960,30000,169.7,Y132S-6,3
T30,10,,960,32700,181.5,Y132M1-6,4
T30,10,,960,40000,194.2,Y132M1-6,4
T30,2.5,,2900,1100,117.7,IAO5612,0.12
T30,2.5,,2900,1400,117.7,IAO5612,0.12
T30,2.5,,2900,1740,132.4,IAO5612,0.12
T30,2.5,,2900,2000,137.3,IAO5622,0.18
T30,2.5,,2900,2280,147.2,IAO5622,0.18
T30,2.5,,1450,550,30.4,IAO5614,0.09
T30,2.5,,1450,700,32.3,IAO5614,0.09
T30,2.5,,1450,870,33.4,IAO5614,0.09
T30,2.5,,1450,1000,34.3,IAO5614,0.09
T30,2.5,,1450,1140,36.2,IAO5614,0.09
T30,3,,2790,1780,161.9,IAO5622,0.18
T30,3,,2790,2340,161.9,IAO5632,0.25
T30,3,,2790,2780,172.7,IAO5632,0.25
T30,3,,2790,3230,179.5,IAO7112,0.37
T30,3,,2790,3670,184.4,IAO7112,0.55
T30,3,,1390,890,39.2,IAO5614,0.09
T30,3,,1390,1170,39.2,IAO5614,0.09
T30,3,,1390,1390,43.1,IAO5614,0.09
T30,3,,1390,1610,44.1,IAO5614,0.09
T30,3,,1390,1830,45.1,IAO5614,0.09
T30,3.5,,2900,3100,235.4,IAO7112,0.37
T30,3.5,,2900,3800,255.1,IAO7122,0.55
T30,3.5,,2900,4800,259.9,IAO7132,0.75
T30,3.5,,2900,5500,274.7,IAO7132,0.75
T30,3.5,,2900,6200,294.3,Y802-2,1.1
T30,3.5,,1450,1550,62.8,IAO5614,0.09
T30,3.5,,1450,1900,66.7,IAO5614,0.09
T30,3.5,,1450,2400,68.7,IAO5614,0.09
T30,3.5,,1450,2750,72.6,IAO5634,0.18
T30,3.5,,1450,3100,78.5,IAO5634,0.18
T30,4,,2800,4250,278.4,IAO7132,0.75
T30,4,,2800,5570,287.4,Y801-2,0.75
T30,4,,2800,6640,308,Y802-2,1.1
T30,4,,2800,7700,319.8,Y90S-2,1.5
